,Instance,Clear,Start Time,End Time,Duration,Deaths
59,1,False,2022-01-05 22:32:02,2022-01-05 22:35:18,0:03:16,11
60,1,False,2022-01-05 22:35:58,2022-01-05 22:36:05,0:00:07,8
61,1,False,2022-01-05 22:37:14,2022-01-05 22:41:44,0:04:30,14
62,1,False,2022-01-05 22:52:02,2022-01-05 22:54:13,0:02:11,10
63,1,False,2022-01-05 22:54:50,2022-01-05 22:58:08,0:03:18,8
64,1,False,2022-01-05 23:00:34,2022-01-05 23:05:29,0:04:55,11
65,1,False,2022-01-05 23:06:14,2022-01-05 23:10:57,0:04:43,8
66,1,False,2022-01-05 23:12:08,2022-01-05 23:16:48,0:04:40,8
67,1,False,2022-01-05 23:17:58,2022-01-05 23:22:32,0:04:34,9
68,1,False,2022-01-05 23:24:30,2022-01-05 23:29:58,0:05:28,12
69,1,False,2022-01-05 23:41:40,2022-01-05 23:44:40,0:03:00,11
70,1,False,2022-01-05 23:45:08,2022-01-05 23:49:37,0:04:29,9
71,1,False,2022-01-05 23:51:50,2022-01-05 23:52:11,0:00:21,8
72,1,False,2022-01-05 23:53:46,2022-01-05 23:59:35,0:05:49,16
73,1,False,2022-01-06 00:04:03,2022-01-06 00:09:26,0:05:23,15
74,1,False,2022-01-06 00:11:48,2022-01-06 00:16:21,0:04:33,8
75,1,False,2022-01-06 00:19:33,2022-01-06 00:25:12,0:05:39,11
76,1,False,2022-01-06 00:27:15,2022-01-06 00:32:52,0:05:37,15
77,1,False,2022-01-06 00:33:27,2022-01-06 00:33:44,0:00:17,8
78,1,False,2022-01-06 00:36:45,2022-01-06 00:39:34,0:02:49,11
79,1,False,2022-01-06 00:41:34,2022-01-06 00:41:41,0:00:07,8
80,1,False,2022-01-06 00:47:46,2022-01-06 00:53:33,0:05:47,12
81,1,False,2022-01-06 00:58:48,2022-01-06 01:06:02,0:07:14,12
82,1,False,2022-01-06 01:12:49,2022-01-06 01:18:11,0:05:22,11
83,1,False,2022-01-06 01:18:44,2022-01-06 01:23:26,0:04:42,11
84,1,False,2022-01-06 01:24:33,2022-01-06 01:27:23,0:02:50,11
85,1,False,2022-01-06 22:42:04,2022-01-06 22:47:42,0:05:38,12
86,1,False,2022-01-06 22:49:00,2022-01-06 22:55:00,0:06:00,11
87,1,False,2022-01-06 22:58:32,2022-01-06 23:05:14,0:06:42,11
88,1,False,2022-01-06 23:14:59,2022-01-06 23:19:51,0:04:52,12
89,1,False,2022-01-06 23:22:25,2022-01-06 23:30:01,0:07:36,19
90,1,False,2022-01-06 23:34:58,2022-01-06 23:39:39,0:04:41,9
91,1,False,2022-01-06 23:40:31,2022-01-06 23:50:06,0:09:35,23
92,1,False,2022-01-06 23:51:34,2022-01-07 00:00:25,0:08:51,12
93,1,False,2022-01-07 00:01:43,2022-01-07 00:07:06,0:05:23,10
94,1,False,2022-01-07 00:08:58,2022-01-07 00:17:48,0:08:50,17
95,1,False,2022-01-07 00:31:25,2022-01-07 00:35:34,0:04:09,8
96,1,False,2022-01-07 00:37:21,2022-01-07 00:43:15,0:05:54,10
97,1,False,2022-01-07 00:44:14,2022-01-07 00:49:00,0:04:46,10
98,1,False,2022-01-07 00:59:04,2022-01-07 01:01:22,0:02:18,9
99,1,False,2022-01-07 01:02:57,2022-01-07 01:09:31,0:06:34,14
100,1,False,2022-01-07 01:12:20,2022-01-07 01:12:38,0:00:18,8
101,1,False,2022-01-07 01:17:04,2022-01-07 01:22:48,0:05:44,12
102,1,False,2022-01-07 01:30:13,2022-01-07 01:33:01,0:02:48,8
103,1,False,2022-01-07 01:34:32,2022-01-07 01:41:59,0:07:27,11
104,1,False,2022-01-07 01:43:19,2022-01-07 01:49:26,0:06:07,12
105,1,False,2022-01-08 22:19:31,2022-01-08 22:29:48,0:10:17,16
106,1,False,2022-01-08 22:30:24,2022-01-08 22:39:16,0:08:52,10
107,1,False,2022-01-08 22:39:51,2022-01-08 22:41:20,0:01:29,8
108,1,False,2022-01-08 22:41:43,2022-01-08 22:51:20,0:09:37,15
109,1,False,2022-01-08 22:52:08,2022-01-08 22:57:15,0:05:07,10
